Date,Snow_depth_cm,accumulation,melt,
12/3/2015,77.5,,,
12/4/2015,75,,,
12/5/2015,77,,,
12/6/2015,73.5,,,
12/7/2015,73.5,,,
12/8/2015,70,,,
12/9/2015,68,,,
12/10/2015,65,,,
12/11/2015,88,,,
12/12/2015,102.5,,,
12/13/2015,97,,,
12/14/2015,92.5,,,
12/15/2015,100,,,
12/16/2015,93.5,,,
12/17/2015,93.5,,,
12/18/2015,91,,,
12/19/2015,90,,,
12/20/2015,87.5,,,
12/21/2015,97.5,,,
12/22/2015,107,,,
12/23/2015,129,,,
12/24/2015,124,,,
12/25/2015,120,,,
12/26/2015,120,,,
12/27/2015,118,,,
12/28/2015,115,,,
12/29/2015,110,,,
12/30/2015,112.5,,,
12/31/2015,112.5,,,
1/1/2016,110,,,
1/2/2016,109,,,
1/3/2016,107,,,
1/4/2016,106,,,
1/5/2016,105,,,
1/6/2016,104,,,
1/7/2016,115,,,
1/8/2016,120,,,
1/9/2016,130,,,
1/10/2016,126,,,
1/11/2016,123,,,
1/12/2016,120,,,
1/13/2016,115,,,
1/14/2016,111,,,
1/15/2016,115,,,
1/16/2016,122,,,
1/17/2016,,,,pole buried
1/18/2016,,,,pole buried
1/19/2016,,,,pole buried
1/20/2016,,,,pole buried
1/21/2016,,,,pole buried
1/22/2016,,,,pole buried
1/23/2016,145,,,
1/24/2016,138,,,
1/25/2016,,,,pole buried
1/26/2016,,,,pole buried
1/27/2016,,,,pole buried
1/28/2016,,,,pole buried
1/29/2016,145,,,
1/30/2016,140,,,
1/31/2016,162,,,
2/1/2016,160,,,
2/2/2016,161,,,
2/3/2016,161,,,
2/4/2016,156,,,
2/5/2016,160,,,
2/6/2016,155,,,
2/7/2016,153,,,
2/8/2016,152,,,
2/9/2016,150,,,
2/10/2016,150,,,
2/11/2016,149,,,
2/12/2016,148,,,
2/13/2016,147,,,
2/14/2016,146,,,
2/15/2016,150,,,
2/16/2016,151,,,
2/17/2016,,,,
2/18/2016,,,,
2/19/2016,,,,
2/20/2016,,,,
2/21/2016,,,,
2/22/2016,,,,
2/23/2016,,,,
2/24/2016,,,,
2/25/2016,,,,
2/26/2016,,,,
2/27/2016,,,,
2/28/2016,,,,
2/29/2016,,,,
3/1/2016,,,,
3/2/2016,,,,
3/3/2016,145,,,
3/4/2016,,,,
3/5/2016,,,,
3/6/2016,,,,
3/7/2016,,,,
3/8/2016,,,,
3/9/2016,,,,
3/10/2016,,,,
3/11/2016,145,,,
3/12/2016,,,,
3/13/2016,,,,
3/14/2016,,,,
3/15/2016,170,,,
3/16/2016,,,,
3/17/2016,,,,
3/18/2016,,,,
3/19/2016,,,,
3/20/2016,,,,
3/21/2016,,,,
3/22/2016,,,,
3/23/2016,,,,
3/24/2016,,,,
3/25/2016,,,,
3/26/2016,,,,
3/27/2016,,,,
3/28/2016,,,,
3/29/2016,,,,
3/30/2016,,,,
3/31/2016,,,,
4/1/2016,,,,
4/2/2016,,,,
4/3/2016,,,,
4/4/2016,,,,
4/5/2016,,,,
4/6/2016,,,,
4/7/2016,,,,
4/8/2016,,,,
4/9/2016,,,,
4/10/2016,197.5,,,
4/11/2016,200,,,
4/12/2016,195,,,
4/13/2016,190,,,
4/14/2016,187.5,,,
4/15/2016,195,,,
4/16/2016,210,,,
4/17/2016,242.5,,,
4/18/2016,230,,,
4/19/2016,222.5,,,
4/20/2016,215,,,
4/21/2016,210,,,
4/22/2016,205,,,
4/23/2016,195,,,
4/24/2016,200,,,
4/25/2016,192.5,,,
4/26/2016,200,,,
